38 Provinsi,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (menggunakan UHH hasil SP2020 LF),
,Laki-laki,Perempuan
,2022,2022
ACEH,70.95,74.99
SUMATERA UTARA,71.26,75.63
SUMATERA BARAT,71.58,76.3
RIAU,71.62,76.39
JAMBI,71.4,75.93
SUMATERA SELATAN,71.5,76.13
BENGKULU,70.93,74.97
LAMPUNG,71.62,76.39
KEP. BANGKA BELITUNG,71.45,76.02
KEP. RIAU,72.06,77.31
DKI JAKARTA,72.79,78.43
JAWA BARAT,72.08,77.35
JAWA TENGAH,72.71,77.25
DI YOGYAKARTA,73.28,77.01
JAWA TIMUR,72.03,77.24
BANTEN,71.95,77.09
BALI,72.05,77.28
NUSA TENGGARA BARAT,69.72,73.7
NUSA TENGGARA TIMUR,69.37,73.33
KALIMANTAN BARAT,71.31,75.74
KALIMANTAN TENGAH,71.23,75.56
KALIMANTAN SELATAN,71.46,76.05
KALIMANTAN TIMUR,72.5,76.52
KALIMANTAN UTARA,71.34,75.79
SULAWESI UTARA,71.39,75.9
SULAWESI TENGAH,68.57,72.5
SULAWESI SELATAN,71.27,75.64
SULAWESI TENGGARA,69.76,73.74
GORONTALO,68.3,72.24
SULAWESI BARAT,68.5,72.43
MALUKU,68.24,72.18
MALUKU UTARA,68.55,72.48
PAPUA BARAT,66.29,70.27
PAPUA BARAT DAYA,-,-
PAPUA,66.03,70.02
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,71.46,76.05
